"copula","marginal","rho","d","rep","coverage","ci"
"frank","laplace",-0.25,1,37,0.878111111111111,FALSE
"frank","laplace",-0.25,1,38,0.912333333333333,FALSE
"frank","laplace",-0.25,1,39,0.871222222222222,FALSE
"frank","laplace",-0.25,1,40,0.921222222222222,FALSE
"frank","laplace",-0.25,1,41,0.865,FALSE
"frank","laplace",-0.25,1,42,0.923,FALSE
"frank","laplace",-0.25,1,43,0.848666666666667,FALSE
"frank","laplace",-0.25,1,44,0.903,FALSE
"frank","laplace",-0.25,1,45,0.910666666666667,FALSE
"frank","laplace",-0.25,1,46,0.924555555555556,FALSE
"frank","laplace",-0.25,1,47,0.935555555555556,FALSE
"frank","laplace",-0.25,1,48,0.895,FALSE
"frank","laplace",-0.25,1,49,0.916111111111111,FALSE
"frank","laplace",-0.25,1,50,0.892444444444444,FALSE
"frank","laplace",0,1,1,0.930666666666667,FALSE
"frank","laplace",0,1,2,0.914666666666667,FALSE
"frank","laplace",0,1,3,0.847333333333333,FALSE
"frank","laplace",0,1,4,0.922,FALSE
"frank","laplace",0,1,5,0.840555555555556,FALSE
"frank","laplace",0,1,6,0.899,FALSE
"frank","laplace",0,1,7,0.910111111111111,FALSE
"frank","laplace",0,1,8,0.892111111111111,FALSE
"frank","laplace",0,1,9,0.944777777777778,FALSE
"frank","laplace",0,1,10,0.904,FALSE
"frank","laplace",0,1,11,0.907,FALSE
"frank","laplace",0,1,12,0.886777777777778,FALSE
"frank","laplace",0,1,13,0.932333333333333,FALSE
"frank","laplace",0,1,14,0.883666666666667,FALSE
"frank","laplace",0,1,15,0.859222222222222,FALSE
"frank","laplace",0,1,16,0.911666666666667,FALSE
"frank","laplace",0,1,17,0.947888888888889,FALSE
"frank","laplace",0,1,18,0.870888888888889,FALSE
"frank","laplace",0,1,19,0.880111111111111,FALSE
"frank","laplace",0,1,20,0.897111111111111,FALSE
"frank","laplace",0,1,21,0.896111111111111,FALSE
"frank","laplace",0,1,22,0.925777777777778,FALSE
"frank","laplace",0,1,23,0.849888888888889,FALSE
"frank","laplace",0,1,24,0.889,FALSE
"frank","laplace",0,1,25,0.908888888888889,FALSE
"frank","laplace",0,1,26,0.893888888888889,FALSE
"frank","laplace",0,1,27,0.872555555555556,FALSE
"frank","laplace",0,1,28,0.894111111111111,FALSE
"frank","laplace",0,1,29,0.904111111111111,FALSE
"frank","laplace",0,1,30,0.931222222222222,FALSE
"frank","laplace",0,1,31,0.912111111111111,FALSE
"frank","laplace",0,1,32,0.948555555555556,FALSE
"frank","laplace",0,1,33,0.883888888888889,FALSE
"frank","laplace",0,1,34,0.894222222222222,FALSE
"frank","laplace",0,1,35,0.914555555555556,FALSE
"frank","laplace",0,1,36,0.900555555555556,FALSE
"frank","laplace",0,1,37,0.927222222222222,FALSE
"frank","laplace",0,1,38,0.884777777777778,FALSE
"frank","laplace",0,1,39,0.924,FALSE
"frank","laplace",0,1,40,0.883777777777778,FALSE
"frank","laplace",0,1,41,0.902666666666667,FALSE
"frank","laplace",0,1,42,0.914444444444444,FALSE
"frank","laplace",0,1,43,0.91,FALSE
"frank","laplace",0,1,44,0.883111111111111,FALSE
"frank","laplace",0,1,45,0.932222222222222,FALSE
"frank","laplace",0,1,46,0.863555555555556,FALSE
"frank","laplace",0,1,47,0.873555555555556,FALSE
"frank","laplace",0,1,48,0.915444444444444,FALSE
"frank","laplace",0,1,49,0.872333333333333,FALSE
"frank","laplace",0,1,50,0.880333333333333,FALSE
"frank","laplace",0.25,1,1,0.905111111111111,FALSE
"frank","laplace",0.25,1,2,0.894333333333333,FALSE
"frank","laplace",0.25,1,3,0.852444444444444,FALSE
"frank","laplace",0.25,1,4,0.890555555555556,FALSE
"frank","laplace",0.25,1,5,0.854333333333333,FALSE
"frank","laplace",0.25,1,6,0.887111111111111,FALSE
"frank","laplace",0.25,1,7,0.864777777777778,FALSE
"frank","laplace",0.25,1,8,0.854888888888889,FALSE
"frank","laplace",0.25,1,9,0.867111111111111,FALSE
"frank","laplace",0.25,1,10,0.907555555555556,FALSE
"frank","laplace",0.25,1,11,0.925666666666667,FALSE
"frank","laplace",0.25,1,12,0.855555555555556,FALSE
"frank","laplace",0.25,1,13,0.870555555555556,FALSE
"frank","laplace",0.25,1,14,0.956222222222222,FALSE
"frank","laplace",0.25,1,15,0.912333333333333,FALSE
"frank","laplace",0.25,1,16,0.901888888888889,FALSE
"frank","laplace",0.25,1,17,0.861333333333333,FALSE
"frank","laplace",0.25,1,18,0.891555555555556,FALSE
"frank","laplace",0.25,1,19,0.891333333333333,FALSE
"frank","laplace",0.25,1,20,0.903333333333333,FALSE
"frank","laplace",0.25,1,21,0.864333333333333,FALSE
"frank","laplace",0.25,1,22,0.904111111111111,FALSE
"frank","laplace",0.25,1,23,0.929,FALSE
"frank","laplace",0.25,1,24,0.903222222222222,FALSE
"frank","laplace",0.25,1,25,0.935555555555556,FALSE
"frank","laplace",0.25,1,26,0.909888888888889,FALSE
"frank","laplace",0.25,1,27,0.876111111111111,FALSE
"frank","laplace",0.25,1,28,0.888666666666667,FALSE
"frank","laplace",0.25,1,29,0.905333333333333,FALSE
"frank","laplace",0.25,1,30,0.875888888888889,FALSE
"frank","laplace",0.25,1,31,0.854111111111111,FALSE
"frank","laplace",0.25,1,32,0.915,FALSE
"frank","laplace",0.25,1,33,0.878777777777778,FALSE
"frank","laplace",0.25,1,34,0.875888888888889,FALSE
"frank","laplace",0.25,1,35,0.924444444444444,FALSE
"frank","laplace",0.25,1,36,0.931333333333333,FALSE
"frank","laplace",0.25,1,37,0.893666666666667,FALSE
"frank","laplace",0.25,1,38,0.876777777777778,FALSE
"frank","laplace",0.25,1,39,0.893666666666667,FALSE
"frank","laplace",0.25,1,40,0.859777777777778,FALSE
"frank","laplace",0.25,1,41,0.937444444444444,FALSE
"frank","laplace",0.25,1,42,0.922222222222222,FALSE
